Social Media Provider	App Name	Downloads	Use case Description	Data FlowType I (yes/no)	Data FlowType II (yes/no)	
Google Play Game Services	stumble-guys	100M+	login with google play account; 	no	yes	
Google Play Game Services	fifa-soccer	100M+	login with google play account; 	no	yes	
Google Play Game Services	ludo-king	500M+	login with google account; display user's google name; display user's profile image;	yes	yes	
Google Play Game Services	my-talking-tom-2	500M+	login with google play account; 	no	yes	
Google Play Game Services	pk-xd-explore-universes	100M+	login with google play account; 	no	yes	
Google Play Game Services	google-play-games	5B+	login with google account; display user's google email;	yes	yes	
Google Play Game Services	Subway Surfers	1B+	login with google play account; 	no	no	
Google Play Game Services	My Talking Tom	1B+	login with google play account; 	no	yes	
Google Play Game Services	Mequeres - Dating. Flirt. Chat	5M+	login with google account; display user's google name; display user's profile image;	yes	yes	
Google Play Game Services	"iDates - Chat, Flirt, Singles"	5M+	login with google account; display user's google name; display user's email; 	yes	yes	
Google Play Game Services	JAUMO: Meet people.Chat.Flirt	50M+	login with google account;	no	yes	
Google Play Game Services	"iFlirts – Flirt, Dating & Chat"	1M+	login with google account; display user's google name; display user's email; 	yes	yes	
Google Play Game Services	NewProfilePic: Profile Picture	1M+	login with google account; display user's google name; display user's email; 	yes	yes	
Google Play Game Services	SHEIN-Fashion Shopping Online	100M+	login with google account; 	no	yes	
Google Play Game Services	McDonald's	10M+	login with google account; display user's google name; display user's email; 	yes	yes	
Google Play Game Services	Relax - Meet your future	10M+	login with google account; display user's google name; display user's google email; display user's profile image;	yes	yes	
Google Play Game Services	"Fotka - Flirt, stream, dating"	1M+	login with google account; display user's google name; 	yes	yes	
Google Play Game Services	Camsurf: Chat Random & Flirt	5M+	login with google account; display user's google email;	yes	yes	
Google Play Game Services	myDates - Flirt & Chat App	1M+	login with google account; display user's google name; display user's google email; 	yes	yes	
Google Play Game Services	iCatched - Flirt & Dating App	500K+	login with google account; display user's google name; display user's google email; 	yes	yes	
Twitter Kit	SnackVideo	100M+	share to twitter;	no	no	
Twitter Kit	starmaker-sing-and-play	100M+	share to twitter;	no	no	
Twitter Kit	boomplay-music-downloader	100M+	login with twitter account; 	yes	yes	
Twitter Kit	wynk-music-songs-hellotunes	100M+	share to twitter;	no	no	
Twitter Kit	TikTok	1B+	login with twitter account; display user's twitter name; 	yes	yes	
Twitter Kit	AliExpress	500M+	login with twitter account; display user's twitter name; display user's google email;	yes	yes	
Twitter Kit	2gis-offline-map-navigation	100M+	login with twitter account; display user's twitter name; display user's google email;	yes	yes	
Twitter Kit	yandex	100M+	login with twitter account; display user's twitter name; 	yes	yes	
Twitter Kit	streamkar-live-video-chat	50M+	login wtih twitter account;	no	yes	
Twitter Kit	Bigo Live - Live Streaming App	500M+	login with twitter account; display user's twitter name; embed twitter;	yes	yes	
Twitter Kit	티빙(tving) 	10M+	login with twitter account; display user's twitter name; 	yes	yes	
Twitter Kit	iFunny - cool memes & videos	10M+	login with twitter account; display user's twitter name; display user's twitter email;	yes	yes	
Twitter Kit	Tiki - Short Video App	50M+	login with twitter account; share to twitter;	no	yes	
Twitter Kit	instagram	1B+	login with twitter account; share to twitter;	no	no	
Twitter Kit	zepeto	100M+	login with twitter account; 	no	yes	
Twitter Kit	kwai	100M+	share to twitter;	no	no	
Twitter Kit	"WeSing - Karaoke, Party & Live"	100M+	login with twitter account; 	no	no	
Twitter Kit	groupme	10M+	connect to twitter;	no	yes	
Twitter Kit	audiomack	50M+	login with twitter account; display user's twitter name;	yes	yes	
Twitter Kit	triller-social-video-editor	10M+	share to twitter;	no	no	
Vkontakte SDK	aliexpress	10M+	login with VK account; display user's VK name;	yes	yes	
Vkontakte SDK	2gis-offline-map-navigation	100M+	login with VK account; display user's VK name; display user's profile image;	yes	yes	
Vkontakte SDK	Spin the Bottle: Random Chat	5M+	login with VK account; display user's VK name; display user's profile image; 	yes	yes	
Vkontakte SDK	Booking.com: Hotels and more	500M+	share to VK;	no	no	
Vkontakte SDK	yandex	100M+	login with VK account;	no	yes	
Vkontakte SDK	bigo-live-live-streaming-app	100M+	login with VK account;	no	yes	
Vkontakte SDK	"Авито: квартиры, авто, работа"	100M+	login with VK account;	no	no	
Vkontakte SDK	OK: Social Network 	100M+	login with VK account;	no	yes	
Vkontakte SDK	Маруся — голосовой помощник	10M+	login with VK account; display user's profile image; display user's phone number;	yes	yes	
Vkontakte SDK	Yandex Navigator 	100M+	login with VK account; display user's VK name; display user's profile image; 	yes	yes	
Vkontakte SDK	"
YAPPY: видеоплатформа"	5M+	login with VK account;	no	yes	
Vkontakte SDK	Likee 	500M+	login with VK account;	no	yes	
Vkontakte SDK	Яндекс Маркет: здесь покупают	10M+	login with VK account; display user's VK name; display user's profile image; 	yes	yes	
Vkontakte SDK	yandex. weather	10M+	login with VK account; display user's VK name; display user's profile image; 	yes	yes	
Vkontakte SDK	yandex brower with protect	100M+	login with VK account; display user's VK name; display user's profile image; 	yes	yes	
Vkontakte SDK	Вкусно — и точка	10M+	login with VK account; 	no	no	
Vkontakte SDK	СберМаркет: Доставка продуктов	10M+	login with VK account; display user's VK name;	yes	yes	
